"AlbumId","GenreId","ArtistId","Title","Price","AlbumArtUrl"
"1","1","1","The Best Of Men At Work","8.99","/Content/Images/placeholder.gif"
"2","1","4","For Those About To Rock We Salute You","8.99","/Content/Images/placeholder.gif"
"3","1","4","Let There Be Rock","8.99","/Content/Images/placeholder.gif"
"4","1","5","Balls to the Wall","8.99","/Content/Images/placeholder.gif"
"5","1","5","Restless and Wild","8.99","/Content/Images/placeholder.gif"
"6","1","7","Big Ones","8.99","/Content/Images/placeholder.gif"
"7","1","9","Jagged Little Pill","8.99","/Content/Images/placeholder.gif"
"8","1","10","Facelift","8.99","/Content/Images/placeholder.gif"
"9","1","15","Audioslave","8.99","/Content/Images/placeholder.gif"
"10","1","37","Chronicle, Vol. 1","8.99","/Content/Images/placeholder.gif"
"11","1","37","Chronicle, Vol. 2","8.99","/Content/Images/placeholder.gif"
"12","1","38","Into The Light","8.99","/Content/Images/placeholder.gif"
"13","1","39","Come Taste The Band","8.99","/Content/Images/placeholder.gif"
"14","1","39","Deep Purple In Rock","8.99","/Content/Images/placeholder.gif"
"15","1","39","Fireball","8.99","/Content/Images/placeholder.gif"
"16","1","39","Machine Head","8.99","/Content/Images/placeholder.gif"
"17","1","39","MK III The Final Concerts [Disc 1]","8.99","/Content/Images/placeholder.gif"
"18","1","39","Purpendicular","8.99","/Content/Images/placeholder.gif"
"19","1","39","Slaves And Masters","8.99","/Content/Images/placeholder.gif"
"20","1","39","Stormbringer","8.99","/Content/Images/placeholder.gif"
"21","1","39","The Battle Rages On","8.99","/Content/Images/placeholder.gif"
"22","1","39","The Final Concerts (Disc 2)","8.99","/Content/Images/placeholder.gif"
"23","1","43","Un-Led-Ed","8.99","/Content/Images/placeholder.gif"
"24","1","50","King For A Day Fool For A Lifetime","8.99","/Content/Images/placeholder.gif"
"25","1","52","In Your Honor [Disc 1]","8.99","/Content/Images/placeholder.gif"
"26","1","52","In Your Honor [Disc 2]","8.99","/Content/Images/placeholder.gif"
"27","1","52","The Colour And The Shape","8.99","/Content/Images/placeholder.gif"
"28","1","53","Bongo Fury","8.99","/Content/Images/placeholder.gif"
"29","1","59","Appetite for Destruction","8.99","/Content/Images/placeholder.gif"
"30","1","59","Use Your Illusion I","8.99","/Content/Images/placeholder.gif"
"31","1","61","A Matter of Life and Death","8.99","/Content/Images/placeholder.gif"
"32","1","61","Brave New World","8.99","/Content/Images/placeholder.gif"
"33","1","61","Fear Of The Dark","8.99","/Content/Images/placeholder.gif"
"34","1","61","Live At Donington 1992 (Disc 1)","8.99","/Content/Images/placeholder.gif"
"35","1","61","Live At Donington 1992 (Disc 2)","8.99","/Content/Images/placeholder.gif"
"36","1","61","Rock In Rio [CD2]","8.99","/Content/Images/placeholder.gif"
"37","1","61","The Number of The Beast","8.99","/Content/Images/placeholder.gif"
"38","1","61","The X Factor","8.99","/Content/Images/placeholder.gif"
"39","1","61","Virtual XI","8.99","/Content/Images/placeholder.gif"
"40","1","63","Emergency On Planet Earth","8.99","/Content/Images/placeholder.gif"
"41","1","64","Are You Experienced?","8.99","/Content/Images/placeholder.gif"
"42","1","65","Surfing with the Alien (Remastered)","8.99","/Content/Images/placeholder.gif"
"43","1","70","Greatest Kiss","8.99","/Content/Images/placeholder.gif"
"44","1","70","Unplugged [Live]","8.99","/Content/Images/placeholder.gif"
"45","1","71","BBC Sessions [Disc 1] [Live]","8.99","/Content/Images/placeholder.gif"
"46","1","71","BBC Sessions [Disc 2] [Live]","8.99","/Content/Images/placeholder.gif"
"47","1","71","Coda","8.99","/Content/Images/placeholder.gif"
"48","1","71","Houses Of The Holy","8.99","/Content/Images/placeholder.gif"
"49","1","71","In Through The Out Door","8.99","/Content/Images/placeholder.gif"
"50","1","71","IV","8.99","/Content/Images/placeholder.gif"
"51","1","71","Led Zeppelin I","8.99","/Content/Images/placeholder.gif"
"52","1","71","Led Zeppelin II","8.99","/Content/Images/placeholder.gif"
"53","1","71","Led Zeppelin III","8.99","/Content/Images/placeholder.gif"
"54","1","71","Physical Graffiti [Disc 1]","8.99","/Content/Images/placeholder.gif"
"55","1","71","Physical Graffiti [Disc 2]","8.99","/Content/Images/placeholder.gif"
"56","1","71","Presence","8.99","/Content/Images/placeholder.gif"
"57","1","71","The Song Remains The Same (Disc 1)","8.99","/Content/Images/placeholder.gif"
"58","1","71","The Song Remains The Same (Disc 2)","8.99","/Content/Images/placeholder.gif"
"59","1","73","Greatest Hits","8.99","/Content/Images/placeholder.gif"
"60","1","77","Misplaced Childhood","8.99","/Content/Images/placeholder.gif"
"61","1","88","Nevermind","8.99","/Content/Images/placeholder.gif"
